id|name|stock_name|price|quantity|start_date
26|Carson Lawlie|Westmoreland Resource Partners, LP|9644.70|309|2020-06-25
27|Conny Hanbury-Brown|United Community Bancorp|6844.84|51|2020-07-30
28|Martica Camplejohn|PGT Innovations, Inc.|1886.69|148|2019-04-24
29|Terry Jamary|PennyMac Mortgage Investment Trust|8396.96|990|2019-03-23
30|Catlee Rojahn|NOW Inc.|5835.61|756|2020-05-07
31|Sutherland Gosselin|Tata Motors Ltd|5473.43|224|2019-06-02
32|Denny Sides|Jabil Inc.|5825.50|995|2019-06-26
33|Jerrine Castelot|PowerShares S&P SmallCap Energy Portfolio|4287.84|211|2020-02-14
34|Ara Tarbox|Sunstone Hotel Investors, Inc.|9971.97|40|2020-01-12
35|Loralie Fear|Star Gas Partners, L.P.|3414.88|827|2019-07-03
36|Carina Sidebottom|Stellar Biotechnologies, Inc.|2850.86|437|2019-08-19
37|Jannelle Losbie|Royal Bank Of Canada|3403.89|980|2020-01-20
38|Bridgette Baldick|Dimension Therapeutics, Inc.|5227.19|728|2019-12-20
39|Auberta Leivesley|Virtu Financial, Inc.|9864.67|823|2019-12-06
40|Rand Abbiss|PennantPark Investment Corporation|2710.29|817|2019-10-13
41|Cass Riseborough|Vuzix Corporation|3678.45|870|2019-01-23
42|Walther Alti|First Trust Canada AlphaDEX Fund|5224.13|244|2020-02-29
43|Meier Cooling|Landmark Infrastructure Partners LP|5012.92|579|2019-06-18
44|Sybille Baseke|BlackRock Capital Investment Corporation|2453.91|969|2020-07-07
45|Valma Lavall|PS Business Parks, Inc.|6948.38|945|2020-07-12
46|Jarret Scudders|Nabriva Therapeutics AG|7214.92|805|2019-11-18
47|Kania Cayley|PowerShares S&P SmallCap Consumer Discretionary Portfolio|5226.75|822|2019-09-12
48|Hailey Levett|Coffee Holding Co., Inc.|1132.46|48|2019-11-08
49|Jaclyn Lea|Lehman ABS Corporation|3472.20|966|2020-04-26
50|Evelin Baldacco|TerraForm Power, Inc.|4875.90|110|2019-08-02
51|Stephie Slatcher|iShares MSCI EAFE ESG Optimized ETF|3624.11|987|2019-05-02
52|Conny Leaney|Park Hotels & Resorts Inc.|1160.22|301|2019-10-21
53|Ephrayim Tisor|CNX Coal Resources LP|7110.30|612|2020-03-02
54|Donny Balf|Sealed Air Corporation|9621.63|823|2019-11-03
55|Lucienne Doni|Regis Corporation|1643.07|811|2020-01-30
56|Felicle Soff|Rayonier Inc.|1074.33|148|2020-03-03
57|Galina Goodlet|Coca-Cola Bottling Co. Consolidated|2033.01|481|2020-04-28
58|Charissa Lambie|Beasley Broadcast Group, Inc.|4800.68|194|2020-04-26
59|Gearalt Helks|Salem Media Group, Inc.|8710.28|412|2020-04-19
60|Rosene Hapke|Catasys, Inc.|1646.45|851|2019-05-21
61|Theresa Billam|Ryman Hospitality Properties, Inc.|2214.42|532|2020-06-15
62|Wren Ladson|Ferrellgas Partners, L.P.|6286.23|275|2020-01-09
63|Kacey Klaassens|Stamps.com Inc.|2046.58|297|2020-03-23
64|Stanleigh Erangy|Kennedy-Wilson Holdings Inc.|4749.16|841|2020-04-07
65|Omero Dipple|Walter Investment Management Corp.|1191.91|203|2020-02-09
66|Carlynne Zohrer|Prosperity Bancshares, Inc.|8977.60|976|2019-04-06
67|Leeland Jaffrey|Wintrust Financial Corporation|9600.73|813|2019-12-16
68|Margot Antonignetti|Digiliti Money Group, Inc.|8050.99|56|2019-12-30
69|Zorine Yorke|America First Multifamily Investors, L.P.|4741.19|488|2020-05-01
70|Karee Yole|Applied DNA Sciences Inc|9700.43|946|2019-12-18
71|Alida Kittley|The Ensign Group, Inc.|8719.36|894|2019-03-08
72|Ulick Every|Hurco Companies, Inc.|6034.73|228|2019-07-22
73|Newton Chelsom|United Security Bancshares|9105.62|380|2020-04-01
74|Jackson Harvison|United Insurance Holdings Corp.|1610.22|489|2019-05-23
75|Maximilianus Rives|8point3 Energy Partners LP|3073.72|635|2020-01-14
76|Lyndell Tregenna|New Relic, Inc.|7023.84|796|2019-12-23
77|Holly Billany|Intel Corporation|7036.12|542|2019-04-08
78|Cull Crockett|Bio-Rad Laboratories, Inc.|2155.05|867|2020-01-15
79|Paulie Gabey|Shineco, Inc.|3989.90|547|2020-03-08
80|Didi Leversha|Aspen Insurance Holdings Limited|2570.10|530|2019-12-19
81|Vitia Fairtlough|HopFed Bancorp, Inc.|8771.26|975|2019-05-03
82|Logan Cordon|CHS Inc|7005.24|298|2019-05-24
83|Rose Mapledoore|Kimball International, Inc.|4484.34|578|2019-12-23
84|Rob Yarrow|Tortoise Energy Infrastructure Corporation|3830.11|208|2019-10-13
85|Selma Scrange|Pattern Energy Group Inc.|4832.94|842|2019-04-05
86|Libby Mustarde|StealthGas, Inc.|6625.44|758|2019-02-07
87|Sarajane O'Shaughnessy|Baytex Energy Corp|9232.99|54|2020-02-23
88|Ade Lohde|Flaherty & Crumrine Total Return Fund Inc|9714.57|628|2019-10-05
89|Jessie Jedrych|Ormat Technologies, Inc.|6070.39|339|2019-06-12
90|Bartie Rymmer|Macatawa Bank Corporation|5498.52|369|2019-05-28
91|Lindie Breakwell|GATX Corporation|2960.48|533|2019-08-09
92|Charlie Grigorescu|Guangshen Railway Company Limited|1848.31|729|2020-03-18
93|Selinda Paddison|Reis, Inc|3234.72|655|2020-03-25
94|Revkah Womersley|Exponent, Inc.|1742.96|788|2019-02-04
95|Averyl Esmonde|MDU Resources Group, Inc.|9937.06|801|2020-07-10
96|Jemmie Westhoff|Community Health Systems, Inc.|4800.91|319|2020-07-01
97|Pierrette Duro|Yatra Online, Inc.|1221.18|871|2019-01-04
98|Augustine Spofforth|Ecology and Environment, Inc.|9844.36|832|2019-11-13
99|Rhodie Melling|InfoSonics Corp|4706.13|745|2019-08-02
100|Rafaelita Prothero|MetLife, Inc.|2862.44|805|2019-10-21
101|Carolann Wheeliker|Covenant Transportation Group, Inc.|2051.91|366|2019-07-08
102|Boonie Ebbetts|Honeywell International Inc.|8278.25|178|2020-03-13
103|Sela Wem|Resource Capital Corp.|9871.01|478|2019-01-24
104|Arda Hrycek|3D Systems Corporation|1400.19|577|2019-12-14
105|Gerrie Ballantyne|Blue Capital Reinsurance Holdings Ltd.|8005.12|94|2020-02-17
106|Marthena Glasscott|Weis Markets, Inc.|4450.09|3|2020-03-22
107|Lacee Blaymires|Intuit Inc.|9095.61|917|2020-01-11
108|Quincey Elcocks|The Intergroup Corporation|3367.21|898|2020-07-18
109|Dorothea Smyth|The Habit Restaurants, Inc.|2019.62|875|2020-07-30
110|Charlotte Delong|Trex Company, Inc.|3361.78|444|2020-03-16
111|Raoul Mallender|NETGEAR, Inc.|9463.52|512|2019-04-02
112|Tilda Pitherick|Rockwell Automation, Inc.|8802.89|403|2019-07-13
113|Evanne Bodycomb|United States Cellular Corporation|9181.18|590|2020-04-01
114|Lina Toynbee|Infinity Property and Casualty Corporation|3958.81|245|2020-01-01
115|Rand Beathem|Rave Restaurant Group, Inc.|8942.10|248|2019-07-12
116|Stepha Handy|Varian Medical Systems, Inc.|7364.21|904|2019-09-06
117|Gerta Fforde|VictoryShares US Small Cap Volatility Wtd ETF|6769.98|207|2019-09-02
118|Jasun Firminger|General Finance Corporation|2160.71|271|2019-06-03
119|Wenda Attack|Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor)|1872.33|254|2019-04-02
120|Giff Epple|Rudolph Technologies, Inc.|3853.79|133|2020-05-11
121|Vivyanne Bimrose|John Hancock Income Securities Trust|8219.99|251|2020-07-22
122|Brennen Amberson|PowerShares LadderRite 0-5 Year Corporate Bond Portfolio|2862.50|26|2020-07-09
123|Jeffrey Ingleton|W.R. Berkley Corporation|4349.02|101|2020-01-31
124|Allissa Loache|Skechers U.S.A., Inc.|7085.41|294|2019-03-21
125|Ambrosius Ramalho|Celyad SA|6920.91|401|2019-09-08
126|Nat Bellson|National Beverage Corp.|2420.51|320|2019-06-25
127|Halsey Jantot|Bright Horizons Family Solutions Inc.|7541.93|517|2020-05-18
128|Korry Rozanski|Erie Indemnity Company|7716.90|324|2020-06-01
129|Juditha McCumskay|First United Corporation|7994.16|143|2020-02-25
130|Cyb Hedon|First Community Financial Partners, Inc.|6534.05|603|2019-06-10
131|Delmar Ebanks|Black Hills Corporation|3413.82|596|2019-03-26
132|Mallorie Blagburn|SBA Communications Corporation|7526.74|206|2020-06-10
133|Trip Atcherley|Supernus Pharmaceuticals, Inc.|8894.17|626|2019-01-15
134|Gisele Bletso|TTM Technologies, Inc.|6936.77|686|2019-11-08
135|Arabelle Naire|TEGNA Inc.|2400.65|967|2020-05-26
136|Hewie Boanas|Kemper Corporation|9627.67|953|2019-01-02
137|Engracia Teaser|Versum Materials, Inc.|8551.08|64|2019-07-08
138|Berri Gilbee|Team, Inc.|3539.61|879|2019-04-22
139|Marje Lingfoot|PPL Capital Funding, Inc.|9605.89|985|2019-07-23
140|Shelagh Wylam|Andina Acquisition Corp. II|7728.65|286|2019-03-20
141|Enoch Hackey|Ovid Therapeutics Inc.|2352.66|82|2019-06-08
142|Rossie Vince|Oramed Pharmaceuticals Inc.|9581.62|577|2019-11-04
143|Vinnie Mathivet|FlexShares STOXX Global ESG Impact Index Fund|6288.57|621|2019-05-04
144|Leigh Jacketts|Health Insurance Innovations, Inc.|7006.57|545|2019-07-12
145|Mychal Hayer|Flex Ltd.|5581.02|345|2019-01-02
146|Lark Rand|Gabelli Global Small and Mid Cap Value Trust (The)|5400.38|514|2019-05-24
147|Barbra O'Mailey|Nuveen Connecticut Quality Municipal Income Fund|2476.06|358|2019-06-06
148|Crin Domini|Potbelly Corporation|1811.35|86|2019-01-23
149|Giselbert Meddings|Korea Electric Power Corporation|5529.25|290|2019-12-09
150|Chevy Turfitt|Atara Biotherapeutics, Inc.|6146.46|428|2020-06-04
151|Kali Kobes|Cleveland BioLabs, Inc.|3433.01|649|2019-03-15
152|Gabi Fawdry|Duke Energy Corporation|9418.55|968|2019-03-10
153|Agatha Quye|CafePress Inc.|2853.75|745|2019-07-11
154|Pancho Brason|Silicom Ltd|3933.82|300|2019-07-09
155|Marcelline Saundercock|Genesco Inc.|2586.58|99|2020-02-27
156|Millicent Godding|Global Self Storage, Inc.|1098.70|489|2019-11-19
157|Cecilius Ragborne|Southwest Gas Holdings, Inc.|3570.27|680|2019-05-11
158|Hank Dalmon|WSFS Financial Corporation|6441.56|7|2019-11-10
159|Corene Magill|Sterling Construction Company Inc|4291.64|397|2019-11-04
160|Aubrey Robbie|Care.com, Inc.|1068.23|56|2020-08-04
161|Sher Lugton|NextEra Energy Partners, LP|2756.28|445|2020-07-25
162|Duffy Thomkins|XO Group, Inc.|6229.88|716|2020-06-07
163|Valma Older|Karyopharm Therapeutics Inc.|1804.72|735|2019-01-27
164|Tedmund Waine|Harmony Gold Mining Company Limited|9668.31|58|2019-07-01
165|Lorant Lorans|BB&T Corporation|4680.77|735|2019-05-31
166|Adelina Cribbott|Fogo de Chao, Inc.|6393.65|585|2019-10-27
167|Cahra MacFaell|First Trust Capital Strength ETF|6614.88|482|2019-01-24
168|Mady Druhan|Jupai Holdings Limited|4448.66|148|2019-11-14
169|Dniren Ellerker|Cotiviti Holdings, Inc.|2955.80|84|2019-08-18
170|Eben Cotelard|Grupo Financiero Santander Mexico S.A. B. de C.V.|6889.19|907|2020-06-25
171|Ninetta Steinor|Tellurian Inc.|8033.36|232|2019-03-15
172|Walsh Sinkins|GP Investments Acquisition Corp.|6965.46|320|2020-06-16
173|Danica Souley|Vermilion Energy Inc.|5687.42|432|2019-12-01
174|Tricia Gianni|Parker-Hannifin Corporation|7692.84|268|2020-05-14
175|Farrell Gouldsmith|First Trust NASDAQ ABA Community Bank Index Fund|2240.93|703|2019-04-03
176|Rebe Walkley|Neos Therapeutics, Inc.|5970.31|385|2019-09-02
177|Lauretta Jakeman|Eyegate Pharmaceuticals, Inc.|7994.32|542|2019-06-23
178|Roseann Fritz|Biomerica, Inc.|2702.51|188|2019-09-13
179|Lucien Larmett|Stepan Company|8928.23|417|2019-10-27
180|Janela Jeayes|Royal Dutch Shell PLC|8258.45|929|2020-08-14
181|Ozzy Fearey|Vornado Realty Trust|3826.59|478|2020-06-04
182|Jenine Costard|Emergent Biosolutions, Inc.|2201.30|53|2020-03-27
183|Moises Turmell|HP Inc.|3944.86|218|2019-05-01
184|Bethany Cronkshaw|Comp En De Mn Cemig ADS|2069.58|750|2020-06-11
185|Mona Farquar|Greenbrier Companies, Inc. (The)|2122.68|34|2019-09-01
186|Allyce Hulkes|Lazard Ltd.|8593.05|931|2019-12-30
187|Hunt Schaben|MINDBODY, Inc.|7441.52|688|2020-04-26
188|Amalita Huxstep|Bank of America Corporation|6717.79|283|2019-12-31
189|Kali Bernetti|Atlas Air Worldwide Holdings|3658.92|66|2019-04-05
190|Dominick Swaddle|Seaspan Corporation|3527.55|959|2020-06-07
191|Ailyn Beagley|Central Federal Corporation|8892.23|155|2020-01-23
192|Giulio Lowey|ChromaDex Corporation|9325.38|852|2019-06-29
193|Ev Burgett|Putnam High Income Bond Fund|8827.12|894|2020-05-21
194|Isabeau Belding|Capital Senior Living Corporation|4136.55|183|2019-07-16
195|Georg Colliver|Community Bankers Trust Corporation.|3941.52|103|2020-01-14
196|Sammy Bodill|Callon Petroleum Company|5882.30|173|2020-05-06
197|Jan Mugleston|Scudder Strategic Municiple Income Trust|8392.36|696|2019-12-10
198|Rori Blamire|MFS Charter Income Trust|3740.36|639|2019-01-10
199|Erinna Harding|Source Capital, Inc.|5502.74|735|2020-03-20
200|Sherman Van den Broek|John Hancock Tax Advantaged Dividend Income Fund|7816.73|155|2020-06-10
201|Antonius Capeling|iRadimed Corporation|6438.14|543|2019-05-16
202|Claudian Linskill|Ply Gem Holdings, Inc.|7585.43|81|2020-08-06
203|Mozes Largen|Pampa Energia S.A.|4500.74|80|2019-04-21
204|Wain Coopland|Mosaic Company (The)|5580.31|149|2020-08-13
205|Dorette Corbishley|Education Realty Trust Inc.|9782.76|65|2019-09-11
206|Joe Knibb|Banc of California, Inc.|8513.89|793|2019-03-26
207|Jada Weson|Telephone and Data Systems, Inc.|5686.64|343|2019-04-19
208|Cher Van der Hoeven|Liberty Interactive Corporation|6307.72|73|2020-02-16
209|Oralie Levy|Lincoln Electric Holdings, Inc.|7361.91|632|2019-04-06
210|Linzy Kattenhorn|HCP, Inc.|4075.85|209|2020-05-13
211|Brodie Ridwood|LSC Communications, Inc.|9959.34|588|2020-07-01
212|Susana Jallin|Orion Energy Systems, Inc.|6880.17|488|2019-09-29
213|Nilson Lantaph|Templeton Dragon Fund, Inc.|3875.33|400|2019-09-27
214|Tim Tenny|First Trust Cloud Computing ETF|3836.17|164|2019-04-10
215|Godfrey Hamelyn|America First Multifamily Investors, L.P.|2791.36|916|2019-02-21
216|Joshia Paoletto|Nuveen Tax-Advantaged Dividend Growth Fund|2575.11|820|2020-01-27
217|Pru Patchett|Freeport-McMoran, Inc.|6167.49|746|2019-03-30
218|Thoma Dudek|Grifols, S.A.|8830.03|801|2020-05-29
219|Franciska Gowan|Cornerstone OnDemand, Inc.|4835.37|23|2019-08-04
220|Hedvig Schulze|PrivateBancorp, Inc.|4679.78|151|2019-03-26
221|Masha Prendeville|Modern Media Acquisition Corp.|1703.04|439|2020-04-01
222|Laura Orbell|National Bankshares, Inc.|4731.59|182|2019-05-15
223|Bamby Collaton|Atlas Financial Holdings, Inc.|1918.17|838|2019-10-17
224|Andros Wellings|BioAmber Inc.|5363.27|239|2020-05-14
225|Dusty Hallwell|The York Water Company|3226.42|373|2019-02-23
226|Dosi Vasenin|Public Storage|2264.36|359|2020-01-04
227|Sibyl Crat|ChannelAdvisor Corporation|1019.44|21|2019-11-01
228|Dredi Griggs|THL Credit Senior Loan Fund|5691.94|267|2019-05-25
229|Noelle Rosario|Mercury General Corporation|9785.26|18|2019-07-26
230|Niki Mapam|Dreyfus Municipal Bond Infrastructure Fund, Inc.|6099.75|608|2019-04-18
231|Clarie Henzer|Air T, Inc.|2738.03|777|2020-06-22
232|Georgie Kebell|Brookfield Asset Management Inc|8539.25|26|2019-12-23
233|Cori Colliver|First Trust NASDAQ Smartphone Index Fund|9418.86|11|2020-03-03
234|Jessamyn Rousell|Forum Merger Corporation|4541.52|746|2019-11-23
235|Marline Northgraves|Federal Agricultural Mortgage Corporation|2314.38|591|2019-07-29
236|Dominique Jallin|Kelly Services, Inc.|3156.44|259|2019-01-04
237|Michail Chevolleau|Axar Acquisition Corp.|2056.53|768|2020-06-22
238|Charley Terbeck|Legacy Reserves LP|7688.35|135|2019-01-28
239|Theresita Nitto|Ichor Holdings|4166.88|834|2020-02-14
240|Terry Fingleton|CyberArk Software Ltd.|6510.09|898|2020-05-12
241|Joice Pendergast|Dividend and Income Fund|6652.52|190|2020-05-20
242|Carver Gregorace|BOK Financial Corporation|4731.59|967|2019-04-12
243|Loni Coyne|Dave & Buster's Entertainment, Inc.|9517.79|74|2020-07-19
244|Raddie Alecock|SVB Financial Group|9647.74|376|2019-06-04
245|Madella Bowditch|Recro Pharma, Inc.|6238.43|818|2019-01-19
246|Merle Maddock|Ryerson Holding Corporation|5787.80|702|2019-04-04
247|Gaylor Morales|Old Second Bancorp, Inc.|5672.90|941|2019-05-12
248|Karlotta McRinn|John Hancock Premium Dividend Fund|6492.47|781|2020-07-06
249|Drona Reddle|Toronto Dominion Bank (The)|5035.91|789|2019-09-26
250|Pascal Ors|Eagle Bancorp Montana, Inc.|3898.23|914|2019-12-22
251|Ira Broadwood|Tesoro Corporation|4038.73|117|2020-07-31
252|Dur Maggiori|RiceBran Technologies|3237.32|92|2020-07-15
253|Wenonah Jallin|Veeva Systems Inc.|1879.44|723|2019-09-09
254|Joanna Gerholz|Cardtronics plc|4757.11|754|2019-10-04
255|Laurie Obal|Compass Diversified Holdings|1034.39|532|2019-05-21
256|Kennie Matthai|Eaton Vance NextShares Trust|5262.51|731|2019-07-29
257|Ethelyn De Angelo|Corporate Asset Backed Corp CABCO|4098.84|37|2019-05-01
258|Dorrie Lawly|Rubicon Technology, Inc.|2233.86|953|2019-02-11
259|Mickey Rotherham|Scorpio Tankers Inc.|2974.45|299|2019-10-25
260|Bryon Mustill|Aradigm Corporation|3846.05|482|2020-03-07
261|Ninon Shone|Tortoise Energy Independence Fund, Inc.|7871.54|804|2019-02-23
262|Nata Vardie|Qwest Corporation|5188.58|687|2019-10-21
263|Bil Arne|V.F. Corporation|3899.37|139|2020-07-03
264|Benjamin Yeldon|DRDGOLD Limited|2755.39|372|2019-09-16
265|Gardie Hause|Capital One Financial Corporation|7199.70|64|2019-03-21
266|Dylan Eastcott|The Bancorp, Inc.|9213.36|570|2019-10-15
267|Adham Winfred|Key Energy Services, Inc.|8337.17|895|2020-03-22
268|Remington Baldery|Seritage Growth Properties|4435.53|394|2020-06-06
269|Daniela Shoppee|JMP Group LLC|3973.15|291|2019-08-11
270|Theresita Kissock|Alexander & Baldwin Holdings, Inc.|7209.90|848|2020-07-31
271|Ambrosio Colaco|K12 Inc|4270.25|374|2019-07-21
272|Derry MacCole|PrivateBancorp, Inc.|7161.32|411|2020-04-03
273|Aubrey Seyffert|Magna International, Inc.|9149.58|156|2019-05-25
274|Kathi Kondratenko|New York Community Bancorp, Inc.|4773.24|717|2020-04-08
275|Zorana Fooks|Sonic Corp.|7065.38|948|2019-07-26
276|Kippie Samways|MFS Government Markets Income Trust|1251.30|768|2020-01-20
277|Thibaud Lapthorn|Cellectar Biosciences, Inc.|2073.19|379|2019-01-02
278|Josselyn Westoff|Kayne Anderson Energy Development Company|7439.10|520|2019-10-04
279|Christabella Hambric|Eaton Vance Short Diversified Income Fund|7711.31|298|2019-03-12
280|Nelia Trewinnard|Versartis, Inc.|6571.29|643|2019-02-18
281|Ailee Howen|iShares MSCI USA ESG Optimized ETF|6273.21|330|2019-02-19
282|Terri Paddington|Patterson Companies, Inc.|9475.67|822|2020-02-23
283|Nevin Grogona|Belmond Ltd.|3580.20|35|2019-01-26
284|Kamillah Drugan|PIMCO Income Strategy Fund II|2543.09|777|2019-10-06
285|Maiga Hudel|vTv Therapeutics Inc.|9796.34|611|2019-07-04
286|Gilberto Glenn|Fenix Parts, Inc.|5639.77|863|2019-11-07
287|Cece Ferrieroi|Cray Inc|1185.80|733|2019-08-30
288|Berti Beatson|Arrow Electronics, Inc.|3021.01|203|2020-05-14
289|Geno Deamer|Aspen Insurance Holdings Limited|4984.12|620|2020-02-16
290|Griffy Orehead|Quality Care Properties, Inc.|7686.26|972|2019-10-10
291|Elliott McArt|Teradata Corporation|3152.09|973|2019-01-15
292|Gabriella MacAskill|First Trust Mid Cap Core AlphaDEX Fund|9527.03|924|2019-10-24
293|Ashbey Spiers|Public Storage|4878.43|620|2019-02-09
294|Sammie Deesly|Sanofi|3057.01|274|2019-02-11
295|Benedikt McLardie|Marriott International|5793.05|399|2019-09-27
296|Forbes Jencken|SpartanNash Company|7763.12|831|2019-08-27
297|Genovera Taplin|Boston Private Financial Holdings, Inc.|7550.72|362|2019-10-25
298|Kimberli Jeanes|Ply Gem Holdings, Inc.|5328.08|462|2020-03-30
299|Dugald Carles|Codorus Valley Bancorp, Inc|2567.82|880|2019-07-26
300|Valle Rival|MGM Resorts International|4229.13|783|2020-05-03
301|Milena Klimochkin|John Hancock Financial Opportunities Fund|6980.85|189|2020-07-29
302|Alexandros Gutowski|NV5 Global, Inc.|5564.33|728|2019-10-01
303|Cassie Andrejs|Organovo Holdings, Inc.|6663.86|173|2019-01-31
304|Silvie Imlen|Nortech Systems Incorporated|5824.54|752|2019-03-24
305|Diane Stroban|Equifax, Inc.|1327.66|985|2019-02-06
306|Shawn Matusovsky|iPath US Treasury Flattener ETN|5193.44|212|2019-12-29
307|Dave Vakhlov|Zions Bancorporation|6701.76|59|2020-04-05
308|Inga Willicott|Nuveen Select Maturities Municipal Fund|1429.94|522|2019-05-28
309|Tommy Daventry|World Point Terminals, LP|8938.19|961|2019-02-06
310|Morgen Cumber|Loncar Cancer Immunotherapy ETF|8634.99|716|2020-08-01
311|Ginny Campanelle|Microvision, Inc.|1203.43|668|2019-02-26
312|Pauline Grund|Cognex Corporation|6561.93|718|2019-01-04
313|Dannel Witherop|NewJersey Resources Corporation|7026.34|45|2020-05-31
314|Oates Pidcock|Popular, Inc.|1845.04|786|2019-10-01
315|Kermy Stenet|iShares MSCI EAFE Small-Cap ETF|3367.48|555|2020-02-01
316|Broddy Fortman|Bioptix, Inc|2906.99|602|2019-12-22
317|Amelia Garritley|Wal-Mart Stores, Inc.|6650.12|297|2019-11-01
318|Weber Ruperti|NCI Building Systems, Inc.|4819.73|445|2020-01-01
319|Reinhold Cuel|Autobytel Inc.|6669.83|943|2019-08-11
320|Fern Craighall|Cellectis S.A.|3797.65|408|2019-08-05
321|Garrard Hotton|FSB Bancorp, Inc.|1658.64|963|2019-04-11
322|Karlan Lergan|argenx SE|9410.92|832|2019-01-07
323|Kimball Crossley|CareTrust REIT, Inc.|7754.61|606|2020-04-18
324|Fernandina Bounds|Pennsylvania Real Estate Investment Trust|3007.89|488|2019-10-26
325|Boyce Ragbourne|Verastem, Inc.|5808.09|112|2019-06-20
326|Hollyanne Morefield|Sanderson Farms, Inc.|7864.94|442|2019-02-11
327|Hardy Claw|Clear Channel Outdoor Holdings, Inc.|4788.13|329|2019-11-29
328|Nicky O'Shevlin|Hersha Hospitality Trust|5688.87|211|2019-01-07
329|Annetta Martinello|Novan, Inc.|5708.19|362|2020-05-04
330|Ajay Elgee|Caleres, Inc.|8295.43|800|2019-04-12
331|Phyllys MacGuffog|Wolverine World Wide, Inc.|9839.34|779|2019-02-27
332|Nessi Dinsdale|Inspired Entertainment, Inc.|5017.03|468|2020-03-28
333|Mayor Syrett|Stericycle, Inc.|9527.85|934|2019-04-20
334|Anton Zorzenoni|First Trust Strategic High Income Fund II|4467.84|615|2019-04-14
335|Tully Gauvain|American Public Education, Inc.|1003.96|891|2020-03-07
336|Anna Churchard|Parke Bancorp, Inc.|2567.70|874|2019-06-07
337|Andriette Adshad|Dollar Tree, Inc.|6470.57|336|2020-04-16
338|Mandel Piaggia|RenaissanceRe Holdings Ltd.|3802.36|891|2019-06-21
339|Munroe Claricoats|Pain Therapeutics, Inc.|3600.08|79|2019-04-04
340|Barty Saile|Onvia, Inc.|1625.34|1000|2019-12-02
341|Melita O'Hartnett|Curis, Inc.|6094.06|905|2019-09-04
342|Danielle Brotherwood|Andina Acquisition Corp. II|4482.15|712|2019-06-22
343|Pedro Tyrone|Banco Santander, S.A.|1325.49|691|2019-09-21
344|Claudianus Atkin|ENDRA Life Sciences Inc.|6717.15|938|2020-02-21
345|Bamby Flindall|Meritor, Inc.|6431.30|668|2020-04-22
346|Rip De Roberto|MS Structured Asset Corp Saturns GE Cap Corp Series 2002-14|5105.71|731|2020-07-10
347|Sunshine Corsor|Q2 Holdings, Inc.|9554.45|78|2020-02-09
348|Ema Elsmore|Liberty TripAdvisor Holdings, Inc.|8220.38|343|2019-12-20
349|Ivie MacMeeking|Pimco New York Municipal Income Fund II|9467.46|170|2019-09-28
350|Kelli Dochon|AmeriGas Partners, L.P.|7410.35|712|2019-06-18
351|Billye Mancktelow|Argo Group International Holdings, Ltd.|8891.71|912|2019-08-09
352|Cookie Sarle|Minerva Neurosciences, Inc|7708.04|392|2019-05-27
353|Thomasine Dolle|EnerNOC, Inc.|1965.08|9|2020-07-31
354|Ramsay Cowthart|USA Technologies, Inc.|8555.71|377|2019-03-30
355|Donnie Lennox|Applied Genetic Technologies Corporation|5725.18|444|2020-02-03
356|Maggie Crippes|First Horizon National Corporation|2016.85|521|2020-05-22
357|Lucila Daen|Blue Bird Corporation|5342.12|860|2019-07-09
